baseline	artifact_id	artifact_type	source_locator	public_locator	nav_location	title	source_kind	consumer_locators	generated_outputs	test_locators	evidence_state	inventory_state	notes
DC1-20260726T101722Z-9d1a8636	page:getting-started/state	content_page	docs_site/content/getting-started/state.md	/getting-started/state/	Docs>Getting started	Events state	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/e2e/test_getting_started_journey_e2e.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	mixed-test-mapped	complete	two signed State round trips and reload reset verified in Chromium
DC1-20260726T101722Z-9d1a8636	page:getting-started/forms	content_page	docs_site/content/getting-started/forms.md	/getting-started/forms/	Docs>Getting started	Handle and validate forms	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/e2e/test_getting_started_journey_e2e.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	mixed-test-mapped	complete	field error, preserved input, and corrected success dispatch verified in Chromium; loading binding is source-checked
DC1-20260726T101722Z-9d1a8636	page:getting-started/server-rendered-updates	content_page	docs_site/content/getting-started/server-rendered-updates.md	/getting-started/server-rendered-updates/	Docs>Getting started	Replace part of the page from Python	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_getting_started_content.py;docs_site/tests/e2e/test_getting_started_journey_e2e.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	mixed-test-mapped	complete	targeted inner replacement and fragment-delivered JS and CSS verified in Chromium
DC1-20260726T101722Z-9d1a8636	page:syntax/expressions	content_page	docs_site/content/syntax/expressions.md	/syntax/expressions/	Docs>Template syntax	Expressions	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:syntax/dynamic-attributes	content_page	docs_site/content/syntax/dynamic-attributes.md	/syntax/dynamic-attributes/	Docs>Template syntax	Dynamic attributes	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:syntax/control-flow	content_page	docs_site/content/syntax/control-flow.md	/syntax/control-flow/	Docs>Template syntax	Control flow	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_content_snapshot.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:syntax/comments	content_page	docs_site/content/syntax/comments.md	/syntax/comments/	Docs>Template syntax	Comments	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:syntax/nested-templates	content_page	docs_site/content/syntax/nested-templates.md	/syntax/nested-templates/	Docs>Template syntax	Nested templates in attributes	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; nav title: Nested templates
DC1-20260726T101722Z-9d1a8636	page:concepts/components	content_page	docs_site/content/concepts/components.md	/concepts/components/	Docs>Concepts	Components	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_git_metadata.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/client-interactivity	content_page	docs_site/content/concepts/client-interactivity.md	/concepts/client-interactivity/	Docs>Concepts	Client interactivity	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/registration	content_page	docs_site/content/concepts/registration.md	/concepts/registration/	Docs>Concepts	Registration and autodiscovery	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/subclassing	content_page	docs_site/content/concepts/subclassing.md	/concepts/subclassing/	Docs>Concepts	Subclassing components	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/slots	content_page	docs_site/content/concepts/slots.md	/concepts/slots/	Docs>Concepts	Slots	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/typing-and-validation	content_page	docs_site/content/concepts/typing-and-validation.md	/concepts/typing-and-validation/	Docs>Concepts	Typing and validation	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/rendering	content_page	docs_site/content/concepts/rendering.md	/concepts/rendering/	Docs>Concepts	Rendering	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/html-attributes	content_page	docs_site/content/concepts/html-attributes.md	/concepts/html-attributes/	Docs>Concepts	HTML attributes	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/provide-and-inject	content_page	docs_site/content/concepts/provide-and-inject.md	/concepts/provide-and-inject/	Docs>Concepts	Provide and inject	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:concepts/error-boundaries	content_page	docs_site/content/concepts/error-boundaries.md	/concepts/error-boundaries/	Docs>Concepts	Error boundaries	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/dynamic-components	content_page	docs_site/content/advanced/dynamic-components.md	/advanced/dynamic-components/	Docs>Advanced	Dynamic components and elements	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; nav title: Dynamic components
DC1-20260726T101722Z-9d1a8636	page:advanced/js-and-css-dependencies	content_page	docs_site/content/advanced/js-and-css-dependencies.md	/advanced/js-and-css-dependencies/	Docs>Advanced	JS and CSS dependencies	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/alpine-runtime	content_page	docs_site/content/advanced/alpine-runtime.md	/advanced/alpine-runtime/	Docs>Advanced	Alpine runtime	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/html-fragments	content_page	docs_site/content/advanced/html-fragments.md	/advanced/html-fragments/	Docs>Advanced	HTML fragments	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/performance	content_page	docs_site/content/advanced/performance.md	/advanced/performance/	Docs>Advanced	Performance	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/caching	content_page	docs_site/content/advanced/caching.md	/advanced/caching/	Docs>Advanced	Caching	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_caching_docs.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/extensions	content_page	docs_site/content/advanced/extensions.md	/advanced/extensions/	Docs>Advanced	Extensions	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/hooks	content_page	docs_site/content/advanced/hooks.md	/advanced/hooks/	Docs>Advanced	Component hooks	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:advanced/share-components	content_page	docs_site/content/advanced/share-components.md	/advanced/share-components/	Docs>Advanced	Component libraries	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; nav title: Sharing components
DC1-20260726T101722Z-9d1a8636	page:advanced/testing	content_page	docs_site/content/advanced/testing.md	/advanced/testing/	Docs>Advanced	Testing components	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:cli	content_page	docs_site/content/cli.md	/cli/	Docs>Advanced	Command line	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:guides/server-events	content_page	docs_site/content/guides/server-events.md	/guides/server-events/	Docs>Events	Server events	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:guides/migrate-from-component-view	content_page	docs_site/content/guides/migrate-from-component-view.md	/guides/migrate-from-component-view/	Docs>Events	Migrate from Component.View	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_events_migration_examples.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; snippet source expands into textual outputs
DC1-20260726T101722Z-9d1a8636	page:guides/migrate-from-django-unicorn	content_page	docs_site/content/guides/migrate-from-django-unicorn.md	/guides/migrate-from-django-unicorn/	Docs>Events	Migrate from django-unicorn	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_events_migration_examples.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; snippet source expands into textual outputs
DC1-20260726T101722Z-9d1a8636	page:guides/migrate-from-tetra	content_page	docs_site/content/guides/migrate-from-tetra.md	/guides/migrate-from-tetra/	Docs>Events	Migrate from Tetra	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_events_migration_examples.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; snippet source expands into textual outputs
DC1-20260726T101722Z-9d1a8636	page:guides/migrate-from-livecomponents	content_page	docs_site/content/guides/migrate-from-livecomponents.md	/guides/migrate-from-livecomponents/	Docs>Events	Migrate from livecomponents	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_events_migration_examples.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; snippet source expands into textual outputs
DC1-20260726T101722Z-9d1a8636	page:guides/events-migration-parity	content_page	docs_site/content/guides/events-migration-parity.md	/guides/events-migration-parity/	Docs>Events	Events migration parity	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:web-frameworks	content_page	docs_site/content/web-frameworks.md	/web-frameworks/	Docs>Guides	Web frameworks	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:guides/troubleshooting	content_page	docs_site/content/guides/troubleshooting.md	/guides/troubleshooting/	Docs>Guides	Troubleshooting	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:guides/dev-server	content_page	docs_site/content/guides/dev-server.md	/guides/dev-server/	Docs>Guides	Hot reload during development	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; nav title: Hot reload
DC1-20260726T101722Z-9d1a8636	page:about/compatibility	content_page	docs_site/content/about/compatibility.md	/about/compatibility/	Docs>About	Compatibility	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:about/benchmarks	content_page	docs_site/content/about/benchmarks.md	/about/benchmarks/	Docs>About	Benchmarks	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_content_render.py;docs_site/tests/test_content_snapshot.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; image component expands to HTML in textual outputs
DC1-20260726T101722Z-9d1a8636	page:security	content_page	docs_site/content/security.md	/security/	Docs>About	Security	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:community/people	content_page	docs_site/content/community/people.md	/community/people/	Community>Community	People	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_content_render.py;docs_site/tests/test_people_generator.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; people data expands to HTML in textual outputs
DC1-20260726T101722Z-9d1a8636	page:community/contributing	content_page	docs_site/content/community/contributing.md	/community/contributing/	Community>Community	Contributing	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:community/help	content_page	docs_site/content/community/help.md	/community/help/	Community>Community	Getting help	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:community/code-of-conduct	content_page	docs_site/content/community/code-of-conduct.md	/community/code-of-conduct/	Community>Community	Code of conduct	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_events_migration_examples.py;docs_site/tests/test_git_metadata.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; snippet source expands into textual outputs
DC1-20260726T101722Z-9d1a8636	page:community/development	content_page	docs_site/content/community/development.md	/community/development/	Community>Community	Development	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:community/ai-bot-policy	content_page	docs_site/content/community/ai-bot-policy.md	/community/ai-bot-policy/	Community>Community	AI bot policy	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata
DC1-20260726T101722Z-9d1a8636	page:community/license	content_page	docs_site/content/community/license.md	/community/license/	Community>Community	License	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_events_migration_examples.py;docs_site/tests/test_git_metadata.py	test-mapped	complete	explicit title and description; default index/search/canonical metadata; snippet source expands into textual outputs
DC1-20260726T101722Z-9d1a8636	page:examples	content_page	docs_site/content/examples.md	/examples/	Examples>Examples	Examples	authored	direct-reader	html;markdown-companion;pagefind;sitemap;indexing-manifest;llms;social-card-eligible	docs_site/tests/test_build.py;docs_site/tests/test_guards.py;docs_site/tests/test_nav.py;docs_site/tests/test_examples.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	explicit title and description; default index/search/canonical metadata; nine example cards expand into textual outputs
DC1-20260726T101722Z-9d1a8636	example:card	example_family	docs_site/examples/card/	/examples/card/	n/a	Card	authored	docs_site/content/examples.md	standalone-html;embedded-gallery-card	docs_site/examples/card/test_example_card.py;docs_site/tests/test_examples.py	test-mapped	complete	server render covered; browser checks gallery count only
DC1-20260726T101722Z-9d1a8636	example:control-flow	example_family	docs_site/examples/control_flow/	/examples/control_flow/	n/a	Control flow	authored	docs_site/content/examples.md	standalone-html;embedded-gallery-card	docs_site/examples/control_flow/test_example_control_flow.py;docs_site/tests/test_examples.py	test-mapped	complete	server branches covered; no browser interaction check
DC1-20260726T101722Z-9d1a8636	example:error-fallback	example_family	docs_site/examples/error_fallback/	/examples/error_fallback/	n/a	Error boundary	authored	docs_site/content/examples.md	standalone-html;embedded-gallery-card	docs_site/examples/error_fallback/test_example_error_fallback.py;docs_site/tests/test_examples.py	test-mapped	complete	healthy and fallback server renders covered; no browser interaction check
DC1-20260726T101722Z-9d1a8636	example:form-submission	example_family	docs_site/examples/form_submission/	/examples/form_submission/	n/a	Form submission	authored	docs_site/content/examples.md	standalone-html;embedded-gallery-card	docs_site/examples/form_submission/test_example_form_submission.py;docs_site/tests/test_examples.py	test-mapped	complete	form markup covered; browser submission JavaScript is not checked
DC1-20260726T101722Z-9d1a8636	example:fragments	example_family	docs_site/examples/fragments/	/examples/fragments/	n/a	Fragments	authored	docs_site/content/examples.md	standalone-html;embedded-gallery-card;fragment-variant-html;fragment-js-css	docs_site/examples/fragments/test_example_fragments.py;docs_site/tests/test_examples.py;docs_site/tests/e2e/test_docs_e2e.py	mixed-test-mapped	complete	fragment fetch, runtime adoption, JavaScript, and CSS covered in Chromium
DC1-20260726T101722Z-9d1a8636	example:provide-inject	example_family	docs_site/examples/provide_inject/	/examples/provide_inject/	n/a	Provide and inject	authored	docs_site/content/examples.md	standalone-html;embedded-gallery-card	docs_site/examples/provide_inject/test_example_provide_inject.py;docs_site/tests/test_examples.py	test-mapped	complete	nested injected values covered; no browser interaction check
