from_baseline	to_baseline	change	old_value	new_value	path
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	f4a03066d6c9d91f0ef5034b120ddb2bebfe7b2f6fa61400cdac3b91e926e968	c1a3aa3a57d64ead5ad92a6fb677f2deb213dd8b8d8fee5b5fb70a575bf4d0cc	docs/design/v1_beta_research/stage1_baseline.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	docs/design/v1_beta_research/stage1_baseline_delta.tsv
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	self_reference_not_hashed	dce0566cf332e0018a68b60aa237b3813be81147842e8538bb7c16cf2eb99f18	docs/design/v1_beta_research/stage1_baseline_fingerprints.tsv
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	docs/design/v1_beta_research/stage1_external_norms.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	docs/design/v1_beta_research/stage1_internal_contract.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	docs/design/v1_beta_research/stage2_baseline_fingerprints.tsv
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	missing		docs_site/directives.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	missing		docs_site/tests/test_directives.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	39c8176dff9ce6df069b10da5b38ab49d960e21658a5b6cabcafff5e2770994e	4fdfa59456335297cbb74643a2029d25ab101b04a96a6c834c070837e2b0411c	packages/js/citry-client/src/citry-events.ts
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	572d50f73870256c79467102573a367119233e376175728521687f7453184b80	e777a87b6a517e8c7ab70f17406dbf4febd19bb32f93f1e3db175e31784c242c	packages/py/citry/citry/ext/events/client/citry-events.js
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	ad1c4dee4154eb2fc1445dd049663cd71649a9173429c4ccc44a4c3e952a1c41	451fc49fa7a4a9708091dae599313f3a06683ac15836b4ebea9693aada6fafbb	packages/py/citry/citry/ext/events/dispatcher.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	7cb58c4eef643f64399e502ac238593d66ae1c1d4e1c9f2330c781cc61fe8356	36e7ebbc98be9a73ade2a1751f5f04382808960b7aa38176735d31be966ca104	packages/py/citry/citry/ext/events/routes.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	433ec9bdf8123bac0eca97d5178cfe0048d81c39f2d3b1fa7acc963e6d787d31	17919782128d06918bb354a2a3dfa523b4b58fd045820c4910ae977613892104	packages/py/citry/tests/e2e/test_events_client_e2e.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	f04e2e1db891014c9c1a94d401ec9c059283b61861ac48598f9046af49689ba4	3d3e2b76fb836d8419ca4e1861aa8e485b65d1f3c3ddf50a04efa915fe5900ba	packages/py/citry/tests/e2e/test_events_queue_e2e.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	59f199aaf1c7aea8ad99b0ff804f1ba9741f4996584885111a8ed7a9b77bd927	bed1c37c98784cad1439565665e1bda3020fde41021e76395cd9899163dc5a53	packages/py/citry/tests/e2e/test_events_transport_e2e.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	missing		packages/py/citry/tests/test_element_attrs.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	2dc7131fe74209ff13b7002a24a92425acf2fd69de62234b3314cbdbae5b9e8b	020779a621e9f0f2f99dffd393ef5f979a65924984c9e0f756883dbac0b8cddd	packages/py/citry/tests/test_events_dispatch.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	25aa3e237bb9575f7ad299a8cf452dc1468e3d5aac730699dfd55569f2574cbe	e0c4673dd3ffa1e36084d5c2a36fc578b6c5c358f36909c9c1f21ebf5cdcc3e0	packages/py/citry/tests/test_events_host_parity.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	0f3d01b425fed2467ea01bb5d5e2876b00314b9f225a5705e172256b05b1becb	bb7e88a3878cf1177dec36cfd67908fe645dbbb8578e0df855b789c7692fced4	packages/py/citry/tests/test_events_routes.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	missing		packages/py/citry/tests/test_ext_dependencies.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	2f3b6130f3c2726b56f0fc5d6a64c76843e78aefab77512a04914c9f4c7da83f	0d61576ab7832c3de25ab77c9bd1a090147a888642f00cd2a1a237e5192bf32f	packages/py/citry_ui/LICENSE
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	8a791e302958dfe3de22e512f5cf110f2aa609586a04260041ff19bb2705b803	c77f3c7c4e03afeb2ceccd0d2106c49a23a362268d4d2e3b53575e5c61a1762f	packages/py/citry_ui/README.md
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	33db0c0c43329e97e0ea262f5e1ac7b9a8c627b667d8d9ef1afcfd444f49c86c	2d51e0c3981e6d0fc4d8aa08cd225a205a68fd36beac316140bb55b99c6b2250	packages/py/citry_ui/citry_ui/__init__.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	packages/py/citry_ui/citry_ui/_definitions.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	packages/py/citry_ui/citry_ui/_installation.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	3fb502d531e9b95ea5225ddc130943204c56145e0952075923eb8a1350e4a885	247591c28478dabd1a7e14a2beb0fb4b6ceb8c30b94e0cfefb9fc912d3cc5598	packages/py/citry_ui/citry_ui/_registration.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	removed_from_dirty_set	??		packages/py/citry_ui/citry_ui/assets/button.css
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	removed_from_dirty_set	??		packages/py/citry_ui/citry_ui/assets/button.html
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	removed_from_dirty_set	??		packages/py/citry_ui/citry_ui/assets/button.js
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	packages/py/citry_ui/citry_ui/components/__init__.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	added_to_dirty_set		??	packages/py/citry_ui/citry_ui/components/button.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	b39cb74719c98bc7f1b1d6e40e6377bffccb0fe31ebd8a706faa0b81dbb27741	aa8026bb5f480dcb96946b9bbfbf651c6724a93a2d20a6b60146a186178c99ea	packages/py/citry_ui/pyproject.toml
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	6768bd234c2d8b8c930cf24f28b3980d7cee08fe4a1f0d30255662b8b0b2a85f	9af43080f821ebdc48135b83739fd497c16acb8a81a703de0a0dbc1e467860ce	packages/py/citry_ui/tests/test_citry_ui_registration.py
B1-20260723T141813Z-cd177d74	B2-20260723T155146Z-cd177d74	worktree_sha256_changed	da05f8015c19d20c18ad27cb4a0ba2189a9824b8eefbff153dc8a17b05c9c328	4786349782ef906262aac158363d9d66166978a39ef6c949fa626d4f4e60291e	packages/py/citry_ui/tests/typing_contract.py
